Date,Average Temperature,AverageTemperatureUncertainty,Country
1965-06-01,,1.966,Antarctica
1970-06-01,,1.371,Antarctica
1975-06-01,,1.338,Antarctica
1980-06-01,,1.137,Antarctica
1985-06-01,,1.314,Antarctica
1990-06-01,,1.008,Antarctica
1995-06-01,,0.835,Antarctica
2000-06-01,,1.072,Antarctica
2005-06-01,,0.728,Antarctica
2010-06-01,,0.634,Antarctica
2013-06-01,,0.612,Antarctica
1950-06-01,27.017,0.505,Antigua And Barbuda
1955-06-01,27.776,0.40299999999999997,Antigua And Barbuda
1960-06-01,28.39,0.266,Antigua And Barbuda
1965-06-01,27.344,0.45899999999999996,Antigua And Barbuda
1970-06-01,27.647,0.449,Antigua And Barbuda
1975-06-01,27.68,0.228,Antigua And Barbuda
1980-06-01,28.396,0.35600000000000004,Antigua And Barbuda
1985-06-01,27.84,0.348,Antigua And Barbuda
1990-06-01,27.935,0.408,Antigua And Barbuda
1995-06-01,28.615,0.183,Antigua And Barbuda
2000-06-01,27.983,0.244,Antigua And Barbuda
2005-06-01,28.744,0.22699999999999998,Antigua And Barbuda
2010-06-01,28.928,0.305,Antigua And Barbuda
2013-06-01,28.322,0.47200000000000003,Antigua And Barbuda
1950-06-01,8.908,0.252,Argentina
1955-06-01,7.532,0.155,Argentina
1960-06-01,8.216999999999999,0.217,Argentina
1965-06-01,11.363,0.38799999999999996,Argentina
1970-06-01,7.9579999999999975,0.325,Argentina
1975-06-01,10.042,0.244,Argentina
1980-06-01,7.891,0.14,Argentina
1985-06-01,9.526,0.297,Argentina
1990-06-01,8.023,0.331,Argentina
1995-06-01,8.453,0.278,Argentina
2000-06-01,8.794,0.22699999999999998,Argentina
2005-06-01,9.347999999999999,0.222,Argentina
2010-06-01,8.766,0.188,Argentina
2013-06-01,9.594,0.38799999999999996,Argentina
1950-06-01,16.302,0.22,Armenia
1955-06-01,18.500999999999998,0.563,Armenia
1960-06-01,17.512999999999998,0.39799999999999996,Armenia
1965-06-01,17.723,0.49,Armenia
1970-06-01,17.997,0.408,Armenia
1975-06-01,19.369,0.278,Armenia
1980-06-01,18.765,0.157,Armenia
1985-06-01,19.048,0.366,Armenia
1990-06-01,18.526,0.18,Armenia
1995-06-01,18.848,0.21600000000000005,Armenia
2000-06-01,18.803,0.353,Armenia
2005-06-01,17.723,0.261,Armenia
2010-06-01,21.155,0.449,Armenia
